# NodeCount Insertion Search Deletion
10 0.000007 0.000007 0.000006
20 0.000012 0.000010 0.000012
30 0.000020 0.000015 0.000018
40 0.000026 0.000020 0.000024
50 0.000035 0.000024 0.000029
60 0.000039 0.000032 0.000031
70 0.000042 0.000035 0.000033
80 0.000046 0.000039 0.000041
90 0.000059 0.000047 0.000045
100 0.000068 0.000052 0.000051
110 0.000072 0.000066 0.000059
120 0.000069 0.000056 0.000056
130 0.000066 0.000055 0.000055
140 0.000076 0.000061 0.000060
150 0.000086 0.000070 0.000071
160 0.000090 0.000080 0.000079
170 0.000109 0.000088 0.000086
180 0.000111 0.000087 0.000089
190 0.000110 0.000091 0.000084
200 0.000101 0.000083 0.000081
210 0.000094 0.000079 0.000077
220 0.000095 0.000078 0.000078
230 0.000100 0.000083 0.000079
240 0.000101 0.000084 0.000083
250 0.000112 0.000092 0.000091
