# NodeCount InsertionTime SearchTime DeletionTime
10 0.000007 0.000006 0.000007
20 0.000011 0.000010 0.000011
30 0.000022 0.000015 0.000014
40 0.000027 0.000021 0.000023
50 0.000033 0.000028 0.000029
60 0.000041 0.000024 0.000036
70 0.000048 0.000039 0.000040
80 0.000047 0.000044 0.000040
90 0.000057 0.000047 0.000050
100 0.000065 0.000059 0.000050
110 0.000072 0.000062 0.000063
120 0.000071 0.000063 0.000066
130 0.000073 0.000065 0.000071
140 0.000099 0.000077 0.000080
150 0.000093 0.000085 0.000088
160 0.000102 0.000083 0.000081
170 0.000094 0.000075 0.000075
180 0.000091 0.000073 0.000074
190 0.000107 0.000086 0.000084
200 0.000098 0.000080 0.000080
210 0.000095 0.000076 0.000077
220 0.000096 0.000078 0.000078
230 0.000099 0.000081 0.000080
240 0.000113 0.000093 0.000089
250 0.000122 0.000105 0.000102
